"Object File","Total Size","DIRAM",".bss",".data",".text",".vectors","Flash Data",".rodata",".appdesc","Flash Code",".text","RTC FAST",".rtc_reserved",".force_fast"
"esp_app_desc.c.obj","69084","10","10","0","0","0","68659","68403","256","415","415","0","0","0"
"ieee80211_output.o","17930","1967","22","2","1943","0","3782","3782","0","12181","12181","0","0","0"
"wl_cnx.o","17558","4216","3937","2","277","0","1032","1032","0","12310","12310","0","0","0"
"phy_chip_v7.o","15584","7519","527","2449","4543","0","0","0","0","8065","8065","0","0","0"
"pp.o","14024","8104","53","1156","6895","0","643","643","0","5277","5277","0","0","0"
"pm.o","13665","4556","520","60","3976","0","763","763","0","8346","8346","0","0","0"
"ieee80211_ioctl.o","13593","393","120","4","269","0","2449","2449","0","10751","10751","0","0","0"
"ieee80211_sta.o","13543","1442","38","13","1391","0","1096","1096","0","11005","11005","0","0","0"
"ieee80211_hostap.o","12488","86","85","1","0","0","1109","1109","0","11293","11293","0","0","0"
"ieee80211_scan.o","11728","327","309","18","0","0","716","716","0","10685","10685","0","0","0"
"nd6.c.obj","11539","940","932","8","0","0","111","111","0","10488","10488","0","0","0"
"ieee80211_ht.o","11166","1073","4","1","1068","0","1510","1510","0","8583","8583","0","0","0"
"sae.c.obj","11001","0","0","0","0","0","32","32","0","10969","10969","0","0","0"
"wpa.c.obj","9814","872","872","0","0","0","0","0","0","8942","8942","0","0","0"
"phy_chip_v7_cal.o","9800","1568","15","66","1487","0","0","0","0","8232","8232","0","0","0"
"tasks.c.obj","9505","2670","660","16","1994","0","637","637","0","6198","6198","0","0","0"
"tcp_in.c.obj","8866","52","52","0","0","0","154","154","0","8660","8660","0","0","0"
"trc.o","7638","2015","104","676","1235","0","906","906","0","4717","4717","0","0","0"
"wpa_auth.c.obj","7527","68","68","0","0","0","6","6","0","7453","7453","0","0","0"
"ecp_curves.c.obj","7523","0","0","0","0","0","2276","2276","0","5247","5247","0","0","0"
"ieee80211_nvs.o","6877","1308","1304","4","0","0","491","491","0","5078","5078","0","0","0"
"ecp.c.obj","6854","68","68","0","0","0","236","236","0","6550","6550","0","0","0"
"lmac.o","6634","1809","180","48","1581","0","680","680","0","4145","4145","0","0","0"
"tlsf.c.obj","6620","5144","0","0","5144","0","276","276","0","1200","1200","0","0","0"
"wdev.o","6589","3571","141","196","3234","0","517","517","0","2501","2501","0","0","0"
"ieee80211_input.o","6294","0","0","0","0","0","483","483","0","5811","5811","0","0","0"
"tcp_out.c.obj","6209","0","0","0","0","0","466","466","0","5743","5743","0","0","0"
"phy_chip_v7_ana.o","6120","2920","63","118","2739","0","0","0","0","3200","3200","0","0","0"
"rsa.c.obj","6005","0","0","0","0","0","0","0","0","6005","6005","0","0","0"
"dhcp.c.obj","5995","64","64","0","0","0","241","241","0","5690","5690","0","0","0"
"bignum.c.obj","5147","0","0","0","0","0","167","167","0","4980","4980","0","0","0"
"tcp.c.obj","5049","25","23","2","0","0","353","353","0","4671","4671","0","0","0"
"nvs_page.cpp.obj","4694","4","4","0","0","0","4","4","0","4686","4686","0","0","0"
"esp_netif_lwip.c.obj","4583","21","21","0","0","0","38","38","0","4524","4524","0","0","0"
"ieee80211_api.o","4519","33","17","16","0","0","450","450","0","4036","4036","0","0","0"
"nvs_storage.cpp.obj","4386","0","0","0","0","0","0","0","0","4386","4386","0","0","0"
"usbd.c.obj","4240","431","338","93","0","0","32","32","0","3777","3777","0","0","0"
"queue.c.obj","4191","1263","0","0","1263","0","395","395","0","2533","2533","0","0","0"
"hal_mac.o","4161","477","0","0","477","0","6","6","0","3678","3678","0","0","0"
"dcd_dwc2.c.obj","4148","252","244","8","0","0","16","16","0","3880","3880","0","0","0"
"api_msg.c.obj","4102","0","0","0","0","0","254","254","0","3848","3848","0","0","0"
"libc_a-strtod.o","4076","0","0","0","0","0","104","104","0","3972","3972","0","0","0"
"memprot.c.obj","4059","0","0","0","0","0","0","0","0","4059","4059","0","0","0"
"usb.cpp.obj","3985","3287","3279","8","0","0","28","28","0","670","670","0","0","0"
"ip6.c.obj","3980","0","0","0","0","0","18","18","0","3962","3962","0","0","0"
"core_dump_elf.c.obj","3966","32","32","0","0","0","405","405","0","3529","3529","0","0","0"
"ieee80211_supplicant.o","3898","164","160","4","0","0","122","122","0","3612","3612","0","0","0"
"ringbuf.c.obj","3884","3552","0","0","3552","0","332","332","0","0","0","0","0","0"
"netif.c.obj","3846","273","273","0","0","0","303","303","0","3270","3270","0","0","0"
"udp.c.obj","3688","6","4","2","0","0","50","50","0","3632","3632","0","0","0"
"libc_a-dtoa.o","3559","0","0","0","0","0","0","0","0","3559","3559","0","0","0"
"esp_mmu_map.c.obj","3557","807","204","4","599","0","122","122","0","2628","2628","0","0","0"
"aria.c.obj","3547","0","0","0","0","0","1072","1072","0","2475","2475","0","0","0"
"ieee80211.o","3531","688","688","0","0","0","462","462","0","2381","2381","0","0","0"
"wdt_hal_iram.c.obj","3514","3514","0","1974","1540","0","0","0","0","0","0","0","0","0"
"sockets.c.obj","3384","600","600","0","0","0","112","112","0","2672","2672","0","0","0"
"esp_flash_api.c.obj","3346","3075","0","238","2837","0","219","219","0","52","52","0","0","0"
"esp_event.c.obj","3223","0","0","0","0","0","121","121","0","3102","3102","0","0","0"
"dhcpserver.c.obj","3219","0","0","0","0","0","27","27","0","3192","3192","0","0","0"
"wpa_common.c.obj","3146","0","0","0","0","0","12","12","0","3134","3134","0","0","0"
"sae_pk.c.obj","3133","0","0","0","0","0","1056","1056","0","2077","2077","0","0","0"
